date,precision_code,precision,region,location,pleiades_name,pleiades_id,lat,lng,title,imprint,series,shelf_location,bsn
Oct-16,1,Site,Turkey,Akhdamar Island - Cathedral of the Holy Cross,,874304,38.3403,43.0369,Die Kirche von Achtamar; Bauplastik im Leben des Lichtes [von] M.S. Ipʼsiroğlu.,Berlin und Mainz : F. Kupferberg [1963],,Small Collection: NA5871.A45 I6 1963 ,2069912
Oct-16,2,City,Armenia,Dvin,Doubios,863780,40.01185995,44.58079045,Drevneĭshie pami͡atniki Dvina / K. Kh. Kushnareva. // Дрeвнейшие памятники Двина / K.Х. Kушнарева.,"Erevan : Izd-vo AN Armi͡anskoĭ SSR, 1977.",,Large Collection: DK689.5.D84 K85 1977 ,4486712
Oct-16,3,Region,Egypt,(General),,,26,30,"E sì d'amici pieno : omaggio di studiosi italiani a Guido Bastianini per il suo settantesimo compleanno / a cura di Angelo Casanova, Gabriella Messeri, Rosario Pintaudi.",,Papyrologica florentina ;XLV,Large Collection: PA3341 .E14 2016 v.1-v.2,4494143
Oct-16,3,Region,Greece,(General),,1001896,37.5,22.5,Early Greek philosophy / edited and translated by André Laks and Glenn W. Most ; in collaboration with Gérard Journée ; and assisted by Leopoldo Iribarren and David Lévystone.,,Loeb classical library ;524-532,Reference 3 Collection: PA3612.A22 A225 2016 v.1-v.8,4491432
Oct-16,3,Region,Egypt,(General),,,26,30,Egipetskiĭ portret I-IV vekov / V. V. Pavlov. // Eгипетский портрет I-IV вeков / В. В. Пaвлов.,"Moskva : Iskusstvo, 1967.",Iz istorii mirovogo iskusstva,Large Collection: ND1327.E3 P33 1967 ,4489766
Oct-16,4,Broad region,Russia,(General),,,60,90,"Ėpokha bronzy lesnoĭ polosy SSSR / otvetstvennye redaktory toma O.N. Bader, D.A. Kraĭnov, M.F. Kosarev ; [avtory toma Zh.V. Andreeva ... et al.]. // Эпоха бронзы лесной полосы СССР / oтветственные редакторы тома O.Н. Бaдер, Д.A. Kрaйнов, M.Ф. Koсарев ; [aвторы тoмa Ж.В. Андреева ... et al.].","Moskva : Izd-vo ""Nauka"", 1987.",Arkheologii͡a SSSR,Large Collection: GN778.22.S65 E66 1987 ,4486696
Oct-16,3,Region,Uzbekistan,Aral Sea Region,Aral Sea,442241741,45,60,Ėtnokulʹturnai͡a istorii͡a Vostochnogo Priaralʹi͡a : I tysi͡acheletie do n.ė.-I tysi͡acheletie n.ė. / L.M. Levina. // Этнокультурная история Вoсточного Приаралья : I тысячелетие дo н.э.-I тысячелетие н.э. / Л.M. Лeвинa.,"Moskva : Vostochnai͡a lit-ra, 1996.",,Small Collection: DK949.A74 L48 1996 ,4498798
Oct-16,3,Region,Turkey,(General),,,39,35,Études anatoliennes / Emmanuel Laroche ; recueillies par Alfonso Archi et Hatice Gonnet ; avec la collaboration de Patrick M. Michel et Giulia Torri.,,Subartu ;XXXVII,Large Collection: P944 .L37 2016 ,4488796
Oct-16,3,Region,Iran,(General),,,32,54,"Excavating an empire : Achaemenid Persia in Longue Durée / edited by Touraj Daryaee, Ali Mousavi and Khodadad Rezakhani.",,,Large Collection: DS281 .E82 2014 ,4001333
Oct-16,3,Region,Turkey,Constantinople,Constantinopolis,520998,41.00746276,28.96060984,"Exegesis and empire in the early Byzantine Mediterranean : Junillus Africanus and the Instituta regularia divinae legis / Michael Maas ; with a contribution by Edward G. Mathews, Jr. ; with the Latin text established by Heinrich Kihn translated by Michael Maas.","Tübingen [Germany] : Mohr Siebeck, c2003.","Studien und Texte zu Antike und Christentum,1436-3003 ;17 =Studies and texts in antiquity and Christianity ;17",Small Collection: BT95 .J8613 2003 ,997795
